Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2008-05-09,25.9,29.68,25.9,29.4,,26986.0,791604.0,,,
2008-05-12,29.45,29.45,29.0,29.45,,981.0,28612.0,,,
2008-05-13,29.5,29.9,29.44,29.85,,1638.0,48289.0,,,
2008-05-14,29.3,29.3,28.77,29.3,,183.0,5344.0,,,
2008-05-15,29.35,29.7,28.75,29.7,,674.0,19824.0,,,
2008-05-16,29.7,29.7,28.63,29.6,,368.0,10855.0,,,
2008-05-19,29.59,31.3,29.59,31.1,,5050.0,154287.0,,,
2008-05-20,29.94,30.0,29.15,29.4,,7633.0,225634.0,,,
2008-05-21,30.0,31.5,30.0,31.5,,11880.0,373492.0,,,
2008-05-22,31.5,31.5,31.5,31.5,,1520.0,47880.0,,,
2008-05-23,31.5,32.0,31.5,31.5,,26104.0,822934.0,,,
2008-05-26,31.5,31.55,30.9,31.55,,7350.0,231252.0,,,
2008-05-27,31.5,31.5,31.5,31.5,,33.0,1040.0,,,
2008-05-28,31.5,31.5,31.5,31.5,,10599.0,333869.0,,,
2008-05-29,31.5,32.79,31.5,32.7,,7298.0,234045.0,,,
2008-05-30,33.0,33.6,33.0,33.6,,3396.0,112966.0,,,
2008-06-02,34.18,34.54,33.95,33.95,,415.0,14178.0,,,
2008-06-03,34.16,34.16,34.08,34.08,,70.0,2388.0,,,
2008-06-04,34.28,34.28,34.16,34.21,,252.0,8616.0,,,
2008-06-05,34.36,34.57,34.36,34.57,,205.0,7052.0,,,
2008-06-06,34.38,34.38,31.6,34.0,,1379.0,44011.0,,,
2008-06-09,33.9,33.95,33.9,33.95,,355.0,12050.0,,,
2008-06-10,33.5,33.5,33.5,33.5,,3.0,101.0,,,
2008-06-11,32.52,32.52,32.52,32.52,,300.0,9756.0,,,
2008-06-12,32.0,32.0,32.0,32.0,,4.0,128.0,,,
2008-06-13,32.0,32.5,32.0,32.5,,571.0,18522.0,,,
2008-06-16,,,,32.06,,,,,,
2008-06-17,32.38,32.38,32.38,32.38,,400.0,12952.0,,,
2008-06-18,32.35,32.35,31.62,32.35,,26.0,827.0,,,
2008-06-19,32.35,32.35,31.21,32.35,,48.0,1514.0,,,
2008-06-20,32.35,32.35,32.35,32.35,,4.0,129.0,,,
2008-06-23,31.07,31.07,31.07,31.07,,5.0,155.0,,,
2008-06-24,32.22,32.22,32.22,32.22,,50.0,1611.0,,,
2008-06-25,,,,31.21,,,,,,
2008-06-26,,,,31.21,,,,,,
2008-06-27,,,,31.31,,,,,,
2008-06-30,32.48,32.48,32.48,32.48,,56.0,1819.0,,,
2008-07-01,,,,31.47,,,,,,
2008-07-02,32.2,32.2,32.2,32.2,,4.0,129.0,,,
2008-07-03,31.47,31.47,31.23,31.23,,135.0,4247.0,,,
2008-07-04,,,,30.9,,,,,,
2008-07-07,30.78,30.78,30.28,30.28,,572.0,17472.0,,,
2008-07-08,,,,29.91,,,,,,
2008-07-09,30.49,30.49,30.49,30.49,,4.0,122.0,,,
2008-07-10,30.49,30.49,30.49,30.49,,4.0,122.0,,,
2008-07-11,30.49,30.49,30.49,30.49,,20.0,610.0,,,
2008-07-14,,,,29.78,,,,,,
2008-07-15,,,,29.76,,,,,,
2008-07-16,29.73,29.73,29.15,29.15,,447.0,13262.0,,,
2008-07-17,,,,28.97,,,,,,
2008-07-18,28.94,29.99,28.94,29.99,,350.0,10392.0,,,
2008-07-21,29.52,29.96,29.52,29.96,,350.0,10336.0,,,
2008-07-22,,,,28.61,,,,,,
2008-07-23,29.55,29.55,29.55,29.55,,20.0,591.0,,,
2008-07-24,,,,28.54,,,,,,
2008-07-25,,,,28.54,,,,,,
2008-07-28,,,,28.54,,,,,,
2008-07-29,,,,28.54,,,,,,
2008-07-30,,,,28.54,,,,,,
2008-07-31,29.61,29.61,29.61,29.61,,1.0,30.0,,,
2008-08-01,,,,28.55,,,,,,
2008-08-04,,,,28.55,,,,,,
2008-08-05,,,,28.55,,,,,,
2008-08-06,,,,28.55,,,,,,
2008-08-07,,,,28.55,,,,,,
2008-08-08,,,,28.55,,,,,,
2008-08-11,,,,28.55,,,,,,
2008-08-12,29.0,29.0,29.0,29.0,,4.0,116.0,,,
2008-08-13,29.45,29.45,29.45,29.45,,4.0,118.0,,,
2008-08-14,29.45,29.62,29.45,29.59,,300.0,8868.0,,,
2008-08-15,,,,29.34,,,,,,
2008-08-18,,,,29.37,,,,,,
2008-08-19,,,,29.37,,,,,,
2008-08-20,,,,29.37,,,,,,
2008-08-21,29.37,29.4,29.37,29.4,,420.0,12336.0,,,
2008-08-22,,,,28.4,,,,,,
2008-08-25,,,,28.4,,,,,,
2008-08-26,,,,28.4,,,,,,
2008-08-27,,,,28.4,,,,,,
2008-08-28,29.0,29.0,29.0,29.0,,500.0,14500.0,,,
2008-08-29,,,,28.43,,,,,,
2008-09-01,,,,28.43,,,,,,
2008-09-02,,,,28.43,,,,,,
2008-09-03,,,,28.43,,,,,,
2008-09-04,29.5,29.5,29.5,29.5,,400.0,11800.0,,,
2008-09-05,29.5,29.5,29.5,29.5,,205.0,6048.0,,,
2008-09-08,,,,29.5,,,,,,
